               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091756,            0.033414,            0.050707,             0.10486,             0.27505,            0.096424,            0.026563,            0.056984,            0.015845,            0.045148,              0.0793,              0.0023,              0.0023
                   1,            0.053033,            0.023518,             0.04494,            0.099736,              0.6233,             0.13135,            0.061626,            0.054057,            0.011392,            0.042569,            0.057235,           0.0042347,           0.0042347
                   2,              0.0498,            0.019291,            0.042466,             0.21979,             0.60996,             0.32877,             0.15981,            0.045877,           0.0080738,            0.039576,            0.034694,           0.0056942,           0.0056942
                   3,            0.047054,            0.016807,            0.040549,              0.2091,             0.45928,              0.3723,             0.18239,            0.042781,            0.006931,            0.036392,            0.011678,           0.0066785,           0.0066785
                   4,            0.041941,            0.014823,            0.036017,             0.34858,             0.64987,             0.48536,             0.22135,            0.042793,           0.0065494,            0.029195,             0.00604,             0.00604,             0.00604
                   5,            0.039582,             0.01272,            0.030578,             0.45749,             0.77513,             0.67766,             0.43134,            0.036089,           0.0051717,            0.022232,             0.00604,             0.00604,             0.00604
                   6,            0.034361,             0.01175,            0.025389,             0.50164,              0.8275,             0.66531,             0.42841,            0.036921,           0.0048983,            0.018078,             0.00505,             0.00505,             0.00505
                   7,            0.029642,            0.010523,            0.021397,             0.51004,             0.85298,             0.69329,             0.44496,            0.033752,           0.0046201,             0.01453,             0.00406,             0.00406,             0.00406
                   8,            0.026856,           0.0098778,            0.017785,             0.81699,             0.88488,             0.90128,             0.67763,             0.02255,           0.0040339,            0.011863,             0.00307,             0.00307,             0.00307
                   9,            0.022595,           0.0094679,              0.0159,             0.82469,             0.92055,             0.90978,             0.72609,            0.020381,           0.0039958,            0.010716,             0.00208,             0.00208,             0.00208
